id,title,username,language,date,content
Yvv5wV6A,Untitled,oakenchildren,JavaScript,Tuesday 25th of July 2023 12:13:17 PM CDT,"// This file was generated by Mendix Studio Pro.
//
// WARNING: Only the following code will be retained when actions are regenerated:
// - the import list
// - the code between BEGIN USER CODE and END USER CODE
// - the code between BEGIN EXTRA CODE and END EXTRA CODE
// Other code you write will be lost the next time you deploy the project.
import ""mx-global"";
import { Big } from ""big.js"";

// BEGIN EXTRA CODE
function isCEPValid(cep) {
    return /^[0-9]{8}$/.test(cep);
}
// END EXTRA CODE

/**
 * @param {string} cep - only numbers
 * @returns {Promise.<string>}
 */
export async function getCEP(cep) {
    // BEGIN USER CODE
    if (isCEPValid(cep)) {
        // URL da API do ViaCEP
        const viaCepUrl = 'https://viacep.com.br/ws/' + cep + '/json/';

        // Realiza a requisição para a API do ViaCEP
        fetch(viaCepUrl)
            .then(response => response.json())
            .then(data => {
                // Retorna o JSON do CEP
                return JSON.stringify({ error: false, message: data});
            })
            .catch(error => {
                // Tratativa de erro no consumo
                return JSON.stringify({ error: true, message: error.message });
            });
    } else {
        // CEP inválido
        return JSON.stringify({ error: true, message: 'CEP inválido. Certifique-se de que o CEP contenha apenas 8 dígitos numéricos.' });
    }
    // END USER CODE
}
"
Db0bRxev,Prefix Permutation Sums,danielvitor23,C++,Tuesday 25th of July 2023 11:59:10 AM CDT,"#include <bits/stdc++.h>
#define fi first
#define se second
using namespace std;

using i64 = long long;

void solve() {
  int n; cin >> n;

  vector<i64> a(n-1);
  map<int, int> freq;

  for (int i = 0; i < n-1; ++i) {
    cin >> a[i];
    ++freq[i == 0 ? a[i] : a[i] - a[i-1]];
  }

  // verificar se removeu do fim
  vector<int> faltando;

  int cntFreq = 0, hasRepeated = false;
  for (int i = 1; i <= n; ++i) {
    if (freq[i]) {
      if (freq[i] > 1) hasRepeated = true;
      ++cntFreq;
    }
    else {
      faltando.push_back(i);
    }
  }

  if (cntFreq == n-1 and !hasRepeated) {
    cout << ""YES\n"";
    return;
  }

  // verificar se removeu do começo
  if (cntFreq == n-2 and faltando.size() == 2 and faltando[0] + faltando[1] == a[0] and !hasRepeated) {
    cout << ""YES\n"";
    return;
  }

  // verificar se removeu do meio
  if (cntFreq == n-2 and faltando.size() == 2 and (faltando[0] + faltando[1] <= n ? freq[faltando[0] + faltando[1]] == 2 : freq[faltando[0] + faltando[1]] == 1)) {
    cout << ""YES\n"";
    return;
  }

  cout << ""NO\n"";
}

int main() {
  cin.tie(0)->sync_with_stdio(0);

  int tc; cin >> tc;

  while (tc--) {
    solve();
  }
}"
B8CDxsUe,Swimbot Error,swimmerhair,Python,Tuesday 25th of July 2023 11:35:53 AM CDT,"Traceback (most recent call last):
  File ""/home/pi/Swimbot/venv/lib/python3.9/site-packages/aiohttp/connector.py"", line 999, in _create_direct_connection
    hosts = await asyncio.shield(host_resolved)
  File ""/home/pi/Swimbot/venv/lib/python3.9/site-packages/aiohttp/connector.py"", line 865, in _resolve_host
    addrs = await self._resolver.resolve(host, port, family=self._family)
  File ""/home/pi/Swimbot/venv/lib/python3.9/site-packages/aiohttp/resolver.py"", line 31, in resolve
    infos = await self._loop.getaddrinfo(
  File ""/usr/lib/python3.9/asyncio/base_events.py"", line 856, in getaddrinfo
    return await self.run_in_executor(
  File ""/usr/lib/python3.9/concurrent/futures/thread.py"", line 52, in run
    result = self.fn(*self.args, **self.kwargs)
  File ""/usr/lib/python3.9/socket.py"", line 953, in getaddrinfo
    for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
socket.gaierror: [Errno -3] Temporary failure in name resolution

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/home/pi/Swimbot/venv/lib/python3.9/site-packages/discord/ext/commands/core.py"", line 85, in wrapped
    ret = await coro(*args, **kwargs)
  File ""/home/pi/Swimbot/whois.py"", line 458, in link
    resp = await COC.Player(temp_tag).info
  File ""/home/pi/Swimbot/COC.py"", line 30, in info
    async with session.get(playerurl, params = self.params, headers=self.headers) as r:
  File ""/home/pi/Swimbot/venv/lib/python3.9/site-packages/aiohttp/client.py"", line 1117, in __aenter__
    self._resp = await self._coro
  File ""/home/pi/Swimbot/venv/lib/python3.9/site-packages/aiohttp/client.py"", line 520, in _request
    conn = await self._connector.connect(
  File ""/home/pi/Swimbot/venv/lib/python3.9/site-packages/aiohttp/connector.py"", line 535, in connect
    proto = await self._create_connection(req, traces, timeout)
  File ""/home/pi/Swimbot/venv/lib/python3.9/site-packages/aiohttp/connector.py"", line 892, in _create_connection
    _, proto = await self._create_direct_connection(req, traces, timeout)
  File ""/home/pi/Swimbot/venv/lib/python3.9/site-packages/aiohttp/connector.py"", line 1011, in _create_direct_connection
    raise ClientConnectorError(req.connection_key, exc) from exc
aiohttp.client_exceptions.ClientConnectorError: Cannot connect to host api.clashofclans.com:443 ssl:default [Temporary failure in name resolution]
"
rMML6c44,Untitled,stuartclennett,Pascal,Tuesday 25th of July 2023 10:40:45 AM CDT,89d6eeab6ab1047bcf7f0703c35793ad44d6b5e1
wjxevfLt,Pinturillo 2 js,DrawingJhon,JavaScript,Tuesday 25th of July 2023 10:12:50 AM CDT,"var oM;
var cr, ab;
var eA = 1920;
var ip = 1080;
var gO;
var fS = false;
var eJ = new dB();
var lD = 10;
var qp;
var rJ;
function dO() {
    if (oM == undefined) {
        oM = createjs;
    }
    if (cr == undefined) {
        cr = cX(ek.id, 'theCanvas', 'canvas');
        cr.style.backgroundColor = ""#366"";
    }
    if (ab == undefined) {
        ab = new oM.Stage(cr);
        ab.snapToPixelEnabled = true;
        ab.enableMouseOver(lD);
        oM.Touch.enable(ab);
        oM.Ticker.interval = parseInt(1000 / 24);
        oM.Ticker.on(""tick"", function() {
            ab.update();
        });
        ab.on(""stagemousedown"", eF);
        ab.regX = parseInt(eA / 2);
    }
    dN();
    window.addEventListener('resize', dN, false);
}
;function qW() {
    var pa = document.createElement(""canvas"").getContext(""2d"");
    var nG = window.devicePixelRatio || 1;
    var nQ = pa.webkitBackingStorePixelRatio || pa.mozBackingStorePixelRatio || pa.msBackingStorePixelRatio || pa.oBackingStorePixelRatio || pa.backingStorePixelRatio || 1;
    return nG / nQ;
}
;function dN() {
    if (qs()) {
        document.dispatchEvent(F(""hideZoneBottom""));
        return;
    } else {
        document.dispatchEvent(F(""showZoneBottom""));
    }
    var mh = qW();
    var iH = parseInt(ek.clientWidth);
    var hQ = parseInt(ek.clientHeight);
    var hU = Math.ceil(iH * mh);
    var ik = Math.ceil(hQ * mh);
    if (cr.width !== hU || cr.height !== ik) {
        cr.width = hU;
        cr.height = ik;
        cr.style.width = iH + ""px"";
        cr.style.height = hQ + ""px"";
        cr.getContext(""2d"").setTransform(mh, 0, 0, mh, 0, 0);
        var ii = Math.min(hU / eA, ik / ip);
        ab.scale = ii;
        ab.x = parseInt(hU / 2);
    }
}
;function fF() {
    if (ek.clientWidth < 730 || ek.clientHeight < 300) {
        return true;
    }
    return false;
}
;var ew;
var dW;
var ea;
var jg;
var eE;
var er;
var fl;
var eS;
var gw;
function dF() {
    this.lZ = 0;
    this.mU = 1;
    this.lP = 2;
    this.mj = 3;
    var jJ = new Array();
    if (ea == undefined) {
        ea = new oM.MovieClip().set({
            y: 110
        });
        ea.maxWidth = eA - 20;
        ea.maxHeight = ip - 120;
        ew.addChild(ea);
    }
    this.qq = function(gj) {
        var km;
        if (jJ[gj] == undefined) {
            switch (gj) {
            case this.lZ:
                km = bK();
                break;
            case this.mU:
                km = av();
                break;
            case this.lP:
                km = ad();
                break;
            case this.mj:
                km = aK();
                break;
            }
            if (km != undefined) {
                jJ[gj] = km;
                ea.addChild(km);
            }
        }
        return jJ[gj];
    }
    ;
    this.show = function(gj, iQ) {
        if (this.nq(gj) == false) {
            this.oc();
            var km = this.rc(gj);
            eS.show();
            setTimeout(function() {
                eS.hide();
                km.show(iQ);
                eJ.fadeIn(km);
            }, 1000);
        }
    }
    ;
    this.hide = function(gj) {
        this.oc();
    }
    ;
    this.oc = function() {
        for (i = 0; i < jJ.length; i++) {
            if (jJ[i] != undefined) {
                if (jJ[i].visible == true) {
                    eJ.fadeOut(jJ[i]);
                    jJ[i].hide();
                }
            }
        }
    }
    ;
    this.nq = function(gj) {
        var km = jJ[gj];
        if (km != undefined) {
            return km.visible;
        }
        return false;
    }
    ;
    this.rc = function(gj) {
        return this.qq(gj);
    }
}
;var ho = false;
var hm = 0;
var kM = new Uint8Array();
var gB = new Uint8Array();
function ag() {
    kM = aP();
    if (jm) {
        bw();
        gB = bb();
        ho = true;
    }
}
;function bw() {
    hm = 0;
    if (jm) {
        for (var i = 0; i < jm.length; i++) {
            hm = hm + jm.charCodeAt(i);
        }
    }
}
;function aH(aJ) {
    if (ho == false) {
        ag();
    }
    return fp(gk(aJ));
}
;function bf(aJ) {
    if (aJ != '' && ho == true) {
        var fe = ax(aJ);
        var aW = new Uint8Array(fe.length);
        var gY = (-1);
        for (var i = 0; i < fe.length; i++) {
            gY = bd(gB, fe[i]);
            if (gY > (-1)) {
                aW.set([gY], i);
            }
        }
        return aW;
    }
    return (new Uint8Array());
}
;function bI(aJ) {
    if (ho == false) {
        ag();
    }
    return fs(kH(aJ));
}
;function aq(aJ) {
    if (aJ != '' && ho == true) {
        var fe = ax(aJ);
        var aW = new Uint8Array(fe.length);
        for (var i = 0; i < fe.length; i++) {
            if (fe[i] < gB.length) {
                aW[i] = gB[fe[i]];
            }
        }
        return aW;
    }
    return (new Uint8Array());
}
;function aP() {
    var jo = new Uint8Array(new ArrayBuffer(256));
    for (var i = 0; i < jo.length; i++) {
        jo[i] = i;
    }
    return jo;
}
;function bb() {
    var ec = kM;
    var iK = new Uint8Array(ec.length);
    while (ec.length > 0) {
        var iP = parseInt(hm % ec.length);
        var gY = ec[iP];
        iK[iK.length - ec.length] = gY;
        var la = ec.subarray(0, iP);
        var lV = ec.subarray(iP + 1);
        ec = aa(la, lV);
    }
    return iK;
}
;function aa(gS, rY) {
    var ga = new (gS.constructor)(gS.length + rY.length);
    ga.set(gS, 0);
    ga.set(rY, gS.length);
    return ga;
}
;function ax(aJ) {
    var array = new Uint8Array(new ArrayBuffer(aJ.length));
    for (var i = 0; i < aJ.length; i++) {
        array[i] = aJ.charCodeAt(i);
    }
    return array;
}
;function bB(pl) {
    return String.fromCharCode.apply(null, pl);
}
;function bd(fi, ld) {
    for (var i = 0; i < fi.length; i++) {
        if (fi[i] == ld) {
            return i;
        }
    }
    return -1;
}
;var jr = {
    76: cJ,
    81: cS,
    84: aY,
    85: bg
};
function execCommand(v) {
    if (v.length > 0) {
        var command = v.charCodeAt(0);
        if (typeof jr[command] != ""undefined"") {
            jr[command](v.split(ha));
        } else {}
    }
}
;function aY(v) {}
;function bg(v) {
    if (v.length > 0) {
        var aW = aE(v, 2);
        if (v[1] != """" && aW != """") {
            if (typeof cN !== 'undefined') {
                cN.kY(parseInt(v[1]), aW);
            } else {}
        }
    }
}
;function cJ(v) {
    if (v != """") {
        bD = v[1];
    }
}
;function cS(v) {
    it = parseInt(v[1]);
    eP(v[2]);
    if (kb['csv2'] == undefined) {
        ei()
    } else {
        rr()
    }
}
;function eP(bY) {
    if (bY < 0) {
        bY = 0;
    }
    gI = parseInt(bY);
}
;function ao(iM) {
    if (L != undefined) {
        eB = L.change(iM);
    }
}
;function bc() {
    var iX = 'en';
    var lang = iX;
    var es = new Array();
    var prefix = 'ln_';
    this.init = function() {
        eB = this.ov();
        eg.mP(prefix + iX, this.pK(iX));
        eB = this.change(eB);
    }
    ;
    this.ov = function() {
        var iC = x = window.navigator.language || navigator.browserLanguage;
        iC = iC.split(""-"")[0];
        return iC.toLowerCase();
    }
    ;
    this.change = function(fN) {
        fN = fN.toLowerCase();
        if (il.includes(fN)) {
            lang = fN;
            if (es[fN] == undefined) {
                this.tj(fN)
            }
            return fN;
        }
        return null;
    }
    ;
    this.dJ = function(gK) {
        if (es[lang] != undefined) {
            if (es[lang][gK] != undefined) {
                if (es[lang][gK] != """") {
                    return es[lang][gK];
                }
            }
        }
        if (es[iX] != undefined) {
            if (es[iX][gK] != undefined) {
                return es[iX][gK];
            }
        }
        return """";
    }
    ;
    this.pf = function(fN) {
        if (es[fN] != undefined) {
            return true;
        } else {
            return false;
        }
    }
    ;
    this.V = function(fN, dH, au) {
        if (fN != """") {
            fN = fN.toLowerCase();
            if (es[fN] == undefined) {
                es[fN] = new Array();
            }
            if (dH != """") {
                es[fN][dH] = au;
            }
        }
    }
    ;
    this.tj = function(iM) {
        eg.mP(prefix + iM, this.pK(iM));
        eg.load();
        document.addEventListener(""fileLoaded"", this.pR, false);
    }
    ;
    this.pR = function(bQ) {
        document.removeEventListener(""fileLoaded"", this.pR, false);
        for (const hK in kb) {
            if (hK.substr(0, 3) == prefix) {
                var iM = hK.substr(3, 2);
                if (es[iM] == undefined) {
                    L.rC(iM, kb[hK].response);
                }
            }
        }
        gw.mq();
    }
    ;
    this.rC = function(iM, v) {
        var v = JSON.parse(v).data;
        for (const hK in v) {
            L.V(iM, hK, v[hK]);
        }
    }
    ;
    this.pK = function(iM) {
        return 'data/lang/' + iM + '.csv'
    }
}
;var dj = {
    mC: 71,
    nn: 72,
    lu: 100,
    kR: 73,
    gW: 74,
    oZ: 75,
    oS: 76,
    mu: 76,
    nC: 77,
    oB: 78,
    oh: 79,
    ou: 80,
    nS: 101,
    md: 102,
    pP: 103,
    pr: 81,
    oH: 82,
    om: 84,
    pb: 90,
    mB: 91,
    mg: 93
};
var il = new Array('da','de','en','es','fr','it','hu','nl','no','pl','pt','ro','sv','tr');
var rV = new Array('DANSK','DEUTSCH','ENGLISH','ESPAÑOL','FRANÇAIS','ITALIANO','MAGYAR','NEDERLANDS','NORWEGIAN','POLSKI','PORTUGUÊS','ROMÂNĂ','SVENSKA','TÜRKÇE');
var L;
var eB;
var ha = "";"";
var eD = ""\r"";
var bD = ""player"";
var al = {};
var gI = 0;
var fE = 0;
var it = 0;
function cX(fU, kh, fD) {
    if (typeof fD == ""undefined"") {
        fD = 'div';
    }
    fU = document.getElementById(fU);
    if (fU != null) {
        var jd = document.createElement(fD);
        jd.id = kh;
        fU.appendChild(jd);
        return jd;
    }
    return null;
}
;function am() {
    fS = qb.any();
    if (ek != null) {
        L = new bc();
        L.init();
        dO();
        bN();
        eS.show();
        dW.show(dW.lZ);
    }
}
;function bN() {
    if (ew == undefined) {
        ew = new oM.MovieClip();
        ab.addChild(ew);
    }
    if (dW == undefined) {
        dW = new dF();
    }
    if (eE == undefined) {
        eE = aQ();
        ew.addChild(eE);
    }
    if (eS == undefined) {
        eS = dk();
        ew.addChild(eS);
    }
    if (er == undefined) {
        er = ds();
        ew.addChild(er);
    }
    if (fl == undefined) {
        fl = qN();
        ew.addChild(fl);
    }
}
;function ei() {
    qP(2)
}
;function du() {
    document.removeEventListener(""fileLoaded"", du, false);
    bq();
    rr();
}
;function rr() {
    qp = sT;
    rJ = rI;
    setTimeout(rj, 1000)
}
;function sT() {
    if (jg == 1) {
        pU();
    } else if (jg == 2) {
        pU(it);
    } else if (jg == 3) {
        dW.show(dW.mU, 2)
    }
}
;function ac(dw) {
    dw = aj(dw);
    return dw.replace(/\s/g, """").trim();
}
;function bK() {
    var bn = new oM.MovieClip().set({
        visible: false
    });
    eI(bn);
    bn.show = function() {
        gw.da = bD;
        gw.lang = eB;
        eE.sO();
        gw.mq();
        ab.setChildIndex(this, ab.children.length - 1);
        this.visible = true;
    }
    ;
    bn.hide = function() {
        eE.oA();
        eE.sn();
        this.visible = false;
    }
    ;
    return bn;
}
;function eI(fU) {
    if (ab != undefined) {
        if (gw == undefined) {
            gw = di();
            fU.addChild(gw);
        }
    }
}
;function cq(km) {
    var gg = km.getBounds();
    var jk = new oM.Shape();
    jk.graphics.setStrokeStyle(2).beginStroke(""#F00"").drawRect(0, 0, gg.width, gg.height);
    km.addChild(jk);
}
;function O(km) {
    var gg = km.getBounds();
    km.set({
        regX: parseInt(gg.width / 2),
        regY: parseInt(gg.height / 2),
        x: parseInt(ea.maxWidth / 2),
        y: parseInt(ea.maxHeight / 2)
    });
}
;function di() {
    var bn = new oM.MovieClip();
    bn.setScale = function() {
        bn.scale = fF() ? 1.8 : 1.3;
    }
    ;
    window.addEventListener('resize', bn.setScale, false);
    bn.setScale();
    bn.setBounds(0, 0, 760, 700);
    O(bn);
    bn.iq = new oM.Bitmap(kb['logoIntro']).set({
        x: 80
    });
    bn.lh = new oM.MovieClip().set({
        y: 350
    });
    var aO = new oM.Shape();
    aO.graphics.setStrokeStyle(6).beginFill(""#333"").drawRoundRect(0, 0, 760, 280, 25);
    aO.alpha = .2;
    bn.iU = new oM.Text('Nick:',""22px Helvetica"",""#EEE"").set({
        x: 30,
        y: 28,
        lineWidth: 400
    });
    bn.iU.text = L.dJ('TNI');
    var rz = new oM.MovieClip();
    var gb = new oM.Shape();
    gb.graphics.setStrokeStyle(1).beginStroke(""#FFF"").beginFill(createjs.Graphics.getRGB(255, 255, 255, .3)).drawRoundRect(0, -8, 700, 60, 16);
    rz.addChild(gb);
    var kd = sH('', '#EEE').set({
        x: 30,
        y: 64
    });
    kd.mw(rz);
    kd.fL(bD);
    jj = jK(700, 56, 3, ""#FE0"", ""#FE0"", 1);
    dV = jK(700, 56, 3, '#FC0', '#FC0', 1);
    fk = sS(700, 56, 30, ""#333"");
    su = sC(700, 56, jj, dV, fk).set({
        x: 30,
        y: 130
    });
    su.on(""click"", function() {
        jg = 1;
        bn.onClick()
    });
    ti = createjs.Graphics.getRGB(255, 255, 255, .2);
    sA = createjs.Graphics.getRGB(255, 255, 255, .01);
    jj = jK(340, 46, 1, ""#FFF"", ti, 1);
    dV = jK(340, 46, 1, '#FC0', sA, 1);
    fk = sS(340, 46, 22, ""#FC0"");
    qn = sC(340, 46, jj, dV, fk).set({
        x: 30,
        y: 200
    });
    qn.rU = '#FC0';
    qn.sF = '#FFF';
    qn.on(""click"", function() {
        jg = 2;
        bn.onClick()
    });
    jj = jK(340, 46, 1, ""#FFF"", ti, 1);
    dV = jK(340, 46, 1, '#FC0', sA, 1);
    fk = sS(340, 46, 22, ""#FC0"");
    kf = sC(340, 46, jj, dV, fk).set({
        x: 390,
